Device,Port,Mode,Connected to/ Purpose,Notes
Current,,,,
Core Layer,,,,
ER605,1,,WAN Uplink,Spectrum 1G
ER605,2,,,
ER605,3,,,
ER605,4,,,
ER605,5,,Downlink to TLSG2008P (port 8),Main LAN
,,,,
Distribute Layer,,,,
TL-SG2008P,1,,OC Controller,
TL-SG2008P,2,,WAP,
TL-SG2008P,3,,Downlink to GS308 (port 8),By [OWNER] PC
TL-SG2008P,4,,Xavier PC,
TL-SG2008P,5,,Phillips HUE Bridge,
TL-SG2008P,6,,Downlink to GS305 (port 5),Media center switch
TL-SG2008P,7,,,
TL-SG2008P,8,,WAN uplink from ER605,
,,,,
Media Center,,,,
GS305,1,,Vizio TV,
GS305,2,,PS5,
GS305,3,,,
GS305,4,,,
GS305,5,,Uplink to TL-SG2008P (port 6),Media center switch
,,,,
Personal Rack,,,,
GS308,1,,,
GS308,2,,,
GS308,3,,Raspberry Pi 5,
GS308,4,,,
GS308,5,,,
GS308,6,,,
GS308,7,,[OWNER] PC,
GS308,8,,Uplink from TL-SG2008P (port 7),
,,,,
Server Rack,,,,
TL-SG605,1,,,
TL-SG605,2,,,
TL-SG605,3,,,
TL-SG605,4,,,
TL-SG605,5,,,
,,,,
Planned,,,,
TL-SG2008P,,,,
TL-SG2008P,Port 1,Access MGMT,Omada Controller,
TL-SG2008P,Ports 2-6,Access HOME,Home devices / WAPs,
TL-SG2008P,Port 7,802.1Q Trunk,Catalyst 3750G Gi0/1 — Inter-rack trunk,
TL-SG2008P,Port 8,Access or WAN,ER605 LAN port,
,,,,
Catalyst 3750G,,,,
Catalyst 3750G,Gi0/1,802.1Q Trunk,TL-SG2008P Port 7 — Inter-rack trunk,
Catalyst 3750G,Gi0/2,802.1Q Trunk,Catalyst 2960G Gi0/1 (optional) — Inter-switch trunk,
Catalyst 3750G,Gi0/3,Access LAB,Cisco 1921 #1 Gi0/0 (optional),
Catalyst 3750G,Gi0/24,Access MGMT,Switch management / console only,
,,,,
Catalyst 2960G,(Optional),,,
Catalyst 2960G,Gi0/1,802.1Q Trunk,Catalyst 3750G Gi0/2,
Catalyst 2960G,Gi0/2-12,Access LAB,Lab servers (VLAN 20),
Catalyst 2960G,Gi0/13-22,Access IOT,IoT devices (VLAN 30),